QuizSessionId,AnswerId,UserId,QuizId,QuestionId,IsCorrect,AnswerValue,CorrectAnswer,QuestionSequence,ConstructId,Type,Timestamp
0,0.0,0,242762,130326,1,4,4,1,9,Checkin,2022-02-01 01:53:31.170000
1,1.0,1,242762,130326,1,4,4,1,9,Checkin,2022-02-01 02:07:31.393333
1,2.0,1,242762,130327,0,1,4,2,10,Checkin,2022-02-01 02:08:27.946666
1,3.0,1,242762,130327,1,4,4,2,10,CheckinRetry,2022-02-01 02:09:09.470000
1,4.0,1,242762,129986,1,1,1,3,45,Checkin,2022-02-01 02:09:33.143333
1,5.0,1,242762,129987,1,4,4,4,46,Checkin,2022-02-01 02:09:50.186666
1,6.0,1,242762,129988,1,2,2,5,47,Checkin,2022-02-01 02:10:13.056666
2,7.0,1,202031,101848,1,2,2,1,31,Checkin,2022-02-01 02:12:00.383333
2,8.0,1,202031,101849,1,2,2,2,28,Checkin,2022-02-01 02:12:39.600000
2,9.0,1,202031,101850,1,3,3,3,29,Checkin,2022-02-01 02:13:10.906666
2,10.0,1,202031,101851,1,1,1,4,2008,Checkin,2022-02-01 02:13:42.620000
2,11.0,1,202031,101852,1,4,4,5,65,Checkin,2022-02-01 02:13:57.150000
3,12.0,1,228602,129994,1,3,3,1,206,Checkin,2022-02-01 02:16:21.216666
3,13.0,1,228602,129995,1,4,4,2,207,Checkin,2022-02-01 02:16:44.213333
3,14.0,1,228602,129996,1,3,3,3,208,Checkin,2022-02-01 02:17:02.763333
3,15.0,1,228602,129997,1,3,3,4,209,Checkin,2022-02-01 02:17:35.530000
3,16.0,1,228602,129998,0,4,3,5,210,Checkin,2022-02-01 02:17:50.610000
3,17.0,1,228602,129998,1,3,3,5,210,CheckinRetry,2022-02-01 02:18:08.010000
4,18.0,1,226964,129092,1,4,4,1,2480,Checkin,2022-02-01 02:20:34.906666
