QuizSessionId,AnswerId,UserId,QuizId,QuestionId,IsCorrect,AnswerValue,CorrectAnswer,QuestionSequence,ConstructId,Type,Timestamp
0,0.0,0,242762,130326,1,4,4,1,9,Checkin,2022-02-01 01:53:31.170000
1,1.0,1,242762,130326,1,4,4,1,9,Checkin,2022-02-01 02:07:31.393333
1,2.0,1,242762,130327,0,1,4,2,10,Checkin,2022-02-01 02:08:27.946666
1,3.0,1,242762,130327,1,4,4,2,10,CheckinRetry,2022-02-01 02:09:09.470000
1,4.0,1,242762,129986,1,1,1,3,45,Checkin,2022-02-01 02:09:33.143333
1,5.0,1,242762,129987,1,4,4,4,46,Checkin,2022-02-01 02:09:50.186666
1,6.0,1,242762,129988,1,2,2,5,47,Checkin,2022-02-01 02:10:13.056666
2,7.0,1,202031,101848,1,2,2,1,31,Checkin,2022-02-01 02:12:00.383333
2,8.0,1,202031,101849,1,2,2,2,28,Checkin,2022-02-01 02:12:39.600000
2,9.0,1,202031,101850,1,3,3,3,29,Checkin,2022-02-01 02:13:10.906666
2,10.0,1,202031,101851,1,1,1,4,2008,Checkin,2022-02-01 02:13:42.620000
2,11.0,1,202031,101852,1,4,4,5,65,Checkin,2022-02-01 02:13:57.150000
3,12.0,1,228602,129994,1,3,3,1,206,Checkin,2022-02-01 02:16:21.216666
3,13.0,1,228602,129995,1,4,4,2,207,Checkin,2022-02-01 02:16:44.213333
3,14.0,1,228602,129996,1,3,3,3,208,Checkin,2022-02-01 02:17:02.763333
3,15.0,1,228602,129997,1,3,3,4,209,Checkin,2022-02-01 02:17:35.530000
3,16.0,1,228602,129998,0,4,3,5,210,Checkin,2022-02-01 02:17:50.610000
3,17.0,1,228602,129998,1,3,3,5,210,CheckinRetry,2022-02-01 02:18:08.010000
4,18.0,1,226964,129092,1,4,4,1,2480,Checkin,2022-02-01 02:20:34.906666
4,19.0,1,226964,129093,0,2,1,2,2480,Checkin,2022-02-01 02:20:45.910000
4,20.0,1,226964,129093,1,1,1,2,2480,CheckinRetry,2022-02-01 02:20:52.936666
4,21.0,1,226964,129094,0,1,2,3,2480,Checkin,2022-02-01 02:21:07.460000
4,22.0,1,226964,129094,0,3,2,3,2480,CheckinRetry,2022-02-01 02:21:13.633333
4,,1,226964,129094,,,,3,2480,Lesson,2022-02-01 02:23:21.750000
4,23.0,1,226964,129234,0,1,4,3,2480,Checkout,2022-02-01 02:23:32.213333
4,24.0,1,226964,129234,1,4,4,3,2480,CheckoutRetry,2022-02-01 02:24:01.030000
4,25.0,1,226964,129095,0,4,1,4,3409,Checkin,2022-02-01 02:44:28.240000
4,26.0,1,226964,129095,1,1,1,4,3409,CheckinRetry,2022-02-01 02:44:39.013333
4,27.0,1,226964,129096,1,2,2,5,3409,Checkin,2022-02-01 02:44:53.223333
5,28.0,2,202086,104950,0,3,4,1,1271,Checkin,2022-02-01 04:11:11.726666
5,29.0,2,202086,104950,0,2,4,1,1271,CheckinRetry,2022-02-01 04:11:36.076666
5,,2,202086,104950,,,,1,1271,Lesson,2022-02-01 04:16:58.700000
5,30.0,2,202086,104952,1,2,2,1,1271,Checkout,2022-02-01 04:18:31.916666
5,31.0,2,202086,104951,0,1,4,2,3133,Checkin,2022-02-01 04:19:00.683333
5,32.0,2,202086,104951,0,2,4,2,3133,CheckinRetry,2022-02-01 04:19:11.256666
5,,2,202086,104951,,,,2,3133,Lesson,2022-02-01 04:21:23.707000
5,33.0,2,202086,104953,0,4,2,2,3133,Checkout,2022-02-01 04:21:39.176666
5,34.0,2,202086,104953,1,2,2,2,3133,CheckoutRetry,2022-02-01 04:23:00.313333
5,35.0,2,202086,91620,0,3,4,3,3176,Checkin,2022-02-01 04:23:34.946666
5,36.0,2,202086,91620,1,4,4,3,3176,CheckinRetry,2022-02-01 04:26:12.706666
5,37.0,2,202086,91621,0,2,3,4,3119,Checkin,2022-02-01 04:26:41.513333
5,38.0,2,202086,91621,1,3,3,4,3119,CheckinRetry,2022-02-01 04:27:13.130000
5,39.0,2,202086,91622,1,3,3,5,3243,Checkin,2022-02-01 04:27:39.233333
6,40.0,3,202371,95518,0,4,3,1,1815,Checkin,2022-02-01 04:18:01.683333
6,41.0,3,202371,95518,0,2,3,1,1815,CheckinRetry,2022-02-01 04:18:26.563333
6,,3,202371,95518,,,,1,1815,Lesson,2022-02-01 04:21:41.277000
6,42.0,3,202371,120911,1,1,1,1,1815,Checkout,2022-02-01 04:21:57.063333
6,43.0,3,202371,95519,1,1,1,2,1901,Checkin,2022-02-01 04:22:53.536666
6,44.0,3,202371,78296,1,4,4,3,1901,Checkin,2022-02-01 04:23:24.766666
6,45.0,3,202371,96260,1,3,3,4,1902,Checkin,2022-02-01 04:24:10.020000
6,46.0,3,202371,96261,1,4,4,5,1902,Checkin,2022-02-01 04:24:26.716666
7,47.0,4,202465,76003,1,3,3,1,2256,Checkin,2022-02-01 04:28:45.896666
7,48.0,4,202465,76004,1,2,2,2,2257,Checkin,2022-02-01 04:29:39.790000
7,49.0,4,202465,76005,0,3,4,3,2257,Checkin,2022-02-01 04:30:19.566666
7,50.0,4,202465,76005,0,1,4,3,2257,CheckinRetry,2022-02-01 04:30:49.590000
