        UserId,Gender,MonthOfBirth,IsPupilPremium,YearGroup
863,Unspecified,,,8
5885,Unspecified,,,5
6468,Female,2002-04-01,,6
6469,Unspecified,,,5
6470,Male,2004-12-01,0,13
6471,Female,2005-08-01,0,
6472,Female,2004-11-01,0,
6473,Female,2005-11-01,0,11
6474,Male,2006-08-01,0,11
6475,Female,2005-11-01,0,11
6476,Female,2005-11-01,0,11
6477,Male,2006-04-01,0,11
6478,Male,2006-01-01,1,11
6479,Male,2006-03-01,0,11
6480,Male,2012-10-01,,2
6481,Unspecified,,,5
6482,Female,2005-11-01,,
6483,Male,2004-06-01,0,11
6484,Unspecified,2006-07-01,,11
2235,Male,2006-04-01,,11
2240,Male,2005-09-01,,11
2242,Male,2006-07-01,,11
6485,Female,2006-05-01,0,11
6486,Male,2006-01-01,0,11
6487,Male,2006-08-01,0,11
6488,Female,2007-08-01,1,10
6489,Female,2007-08-01,1,10
6490,Male,2007-08-01,0,10
6491,Male,2009-05-01,,7
6492,Male,2006-10-01,0,10
6493,Male,2006-10-01,,10
6494,Female,2007-04-01,0,10
6495,Female,2007-08-01,0,10
6496,Male,2007-06-01,0,10
6497,Female,2007-08-01,1,10
6498,Male,2007-03-01,0,10
6499,Female,2007-08-01,0,10
6500,Female,2007-04-01,0,10
6501,Female,2006-09-01,1,10
6502,Male,2007-02-01,0,10
6503,Male,2006-09-01,0,10
6504,Female,2007-05-01,0,10
6505,Male,2013-01-01,,
6506,Female,2011-01-01,,
6507,Female,2012-11-01,,
6508,Male,2012-02-01,,
6509,Male,2012-06-01,,
6510,Female,2010-12-01,,
6511,Female,2011-08-01,,
6512,Male,2011-01-01,,
6513,Male,2013-04-01,,
6514,Female,2011-12-01,,
6515,Female,2006-12-01,,11
6043,Male,2007-08-01,,11
6516,Male,2007-02-01,,7
6044,Female,2006-09-01,,11
6053,Female,2006-12-01,,11
6517,Female,2007-06-01,,11
6518,Unspecified,,,10
4423,Female,2007-06-01,,7
5776,Unspecified,,,6
6519,Female,2007-03-01,1,10
6520,Male,2009-10-01,0,
6521,Female,2010-08-01,1,
6522,Male,2010-03-01,0,
6523,Male,2010-08-01,0,
6524,Female,2007-03-01,,
6525,Unspecified,,,5
6526,Female,2006-02-01,1,11
6527,Female,2005-11-01,0,11
6528,Male,2007-10-01,0,9
6529,Female,2008-06-01,0,9
6530,Female,2010-02-01,1,7
6531,Male,2010-05-01,0,7
6532,Unspecified,,,
6533,Unspecified,,,
6534,Unspecified,,,
6535,Male,2008-08-01,,9
6536,Female,2008-06-01,,9
6537,Female,2008-04-01,,9
6538,Unspecified,,,6
6539,Unspecified,,,6
6540,Unspecified,,,2
6541,Unspecified,,,2
6542,Male,2008-04-01,,
6543,Male,2008-07-01,,
6544,Female,2008-06-01,1,9
6545,Female,2008-02-01,0,10
6546,Female,2007-11-01,0,10
6547,Male,2008-02-01,0,11
6548,Male,2008-06-01,0,10
6549,Female,2008-02-01,0,8
6550,Female,2007-10-01,0,
6551,Female,2008-08-01,0,
6552,Female,2008-03-01,1,
6553,Male,2008-08-01,0,10
6554,Female,2008-08-01,0,10
6555,Female,2007-12-01,1,10
6556,Female,2007-12-01,0,
6557,Male,2008-01-01,0,9
6558,Male,2007-11-01,0,9
6559,Male,2009-12-01,,7
6560,Male,2009-10-01,,7
6561,Male,2009-08-01,,7
6562,Male,2009-09-01,,7
6563,Male,2009-11-01,0,
6564,Female,2011-08-01,,
6565,Male,2004-03-01,,
6566,Unspecified,,,9
6567,Female,2008-07-01,0,
6568,Female,2007-11-01,,9
6569,Female,2007-09-01,,9
4825,Male,2007-12-01,,9
6570,Female,2008-06-01,,9
6571,Male,2007-11-01,,9
6572,Female,2008-05-01,,9
6573,Male,2008-06-01,,9
6574,Male,2006-09-01,,11
6575,Male,2008-06-01,0,9
6576,Female,2008-01-01,0,
6577,Female,2005-12-01,0,11
6578,Unspecified,,,8
6579,Female,,,8
6580,Female,,,6
6581,Female,,,6
6582,Female,,,5
6583,Female,,,
6584,Male,,,6
6585,Male,,,6
6586,Unspecified,,,6
6587,Male,,,5
6588,Unspecified,,,13
6589,Unspecified,,,13
6590,Unspecified,,,13
6591,Unspecified,,,13
6592,Unspecified,,,13
6593,Male,2007-09-01,0,9
6594,Unspecified,,,13
6595,Unspecified,,,10
6596,Unspecified,,,10
5117,Male,,,9
6597,Female,2005-05-01,1,
6598,Male,2005-07-01,0,13
6599,Female,2005-07-01,0,
3913,Male,,,10
6600,Male,2006-02-01,0,11
6601,Female,2006-01-01,0,11
6602,Male,2005-12-01,0,11
6603,Male,2006-09-01,,
6604,Female,2001-12-01,0,11
6605,Male,2001-12-01,0,11
2214,Female,2005-09-01,,11
2229,Female,2005-11-01,,11
2201,Female,2006-08-01,,11
2268,Female,2006-03-01,,11
2239,Male,2006-06-01,,11
2244,Female,2005-11-01,,11
6606,Male,2010-05-01,0,6
6607,Female,2006-07-01,1,10
6608,Female,2005-12-01,0,11
6609,Female,2006-03-01,1,11
6610,Female,2007-04-01,0,10
6611,Male,2007-05-01,0,10
6612,Female,2007-04-01,1,10
6613,Male,2006-09-01,0,10
6614,Female,2006-09-01,1,10
6615,Male,2007-03-01,0,10
6616,Female,2006-12-01,0,10
6617,Female,2007-08-01,1,10
6618,Male,2006-09-01,0,10
6619,Male,2007-07-01,0,10
6620,Female,2007-06-01,1,
6621,Male,2006-10-01,1,9
6622,Male,2007-01-01,1,10
6623,Male,2007-04-01,1,10
6624,Male,2007-05-01,0,10
6625,Female,2006-12-01,1,10
6626,Male,2007-08-01,0,10
6627,Male,2007-04-01,0,10
6628,Female,2012-04-01,,
6629,Male,2012-07-01,,
6630,Female,2010-11-01,,
6631,Male,2010-05-01,0,
6632,Male,2013-02-01,,
6633,Male,2010-12-01,,
6634,Male,2011-04-01,,
6635,Female,2012-12-01,,
6636,Female,2011-08-01,,
6637,Male,2010-11-01,,
6638,Female,2010-04-01,0,
6639,Male,2011-02-01,0,6
6640,Female,2006-12-01,,10
6641,Male,2006-12-01,,10
6642,Unspecified,,,10
6041,Male,2007-04-01,,11
6056,Male,2006-09-01,,11
6643,Female,2007-08-01,,11
6644,Male,2006-09-01,,7
6645,Male,2006-10-01,,11
5110,Female,2013-01-01,,2
6646,Female,2007-01-01,,
6647,Female,2008-06-01,0,6
6648,Female,2012-11-01,,4
6649,Female,2011-12-01,1,5
6650,Male,2012-07-01,0,5
6651,Male,2012-05-01,0,5
6652,Female,2012-07-01,0,5
6653,Female,2013-07-01,,4
6654,Female,2012-10-01,,4
6655,Female,2004-11-01,0,11
6656,Female,2010-03-01,0,
6657,Female,2010-04-01,0,
6658,Male,2009-07-01,0,8
6659,Female,2009-06-01,1,8
6660,Female,2007-10-01,0,13
6661,Female,2006-08-01,0,11
6662,Male,2010-03-01,0,7
6663,Female,2008-08-01,0,9
6664,Female,2009-08-01,0,8
6665,Unspecified,,,
6666,Male,2008-04-01,,9
6667,Female,2007-09-01,,9
6668,Male,2008-01-01,,9
6669,Female,2004-10-01,0,12
6670,Unspecified,,,6
6671,Unspecified,,,6
6672,Unspecified,,,2
6673,Female,2008-07-01,,
6674,Female,2008-02-01,0,
6675,Female,2008-02-01,0,9
6676,Female,2008-05-01,0,10
6677,Female,2008-04-01,0,10
6678,Male,2007-09-01,0,8
6679,Male,2008-02-01,,8
6680,Male,2008-02-01,,8
6681,Male,2007-12-01,1,
6682,Male,2008-03-01,0,
6683,Male,2007-11-01,0,8
6684,Female,2008-04-01,0,10
6685,Female,2008-02-01,1,10
6686,Female,2007-12-01,1,10
6687,Male,2008-02-01,0,10
6688,Female,2007-12-01,1,10
6689,Male,2008-03-01,0,10
6690,Female,2008-06-01,1,10
6691,Male,2007-11-01,0,10
6692,Female,2008-06-01,0,10
6693,Female,2008-02-01,1,10
6694,Male,2007-10-01,0,10
6695,Male,2008-07-01,1,9
6696,Male,2008-10-01,,8
6697,Male,2010-12-01,,6
6698,Male,2011-06-01,,6
6699,Male,2010-10-01,,6
6700,Male,2010-06-01,,7
6701,Male,2010-06-01,0,7
6702,Female,2008-01-01,1,9
6703,Male,2007-12-01,0,9
6704,Male,2008-07-01,0,9
6705,Female,2008-08-01,0,9
6706,Male,2007-09-01,1,9
6707,Male,2008-04-01,,9
5234,Female,2008-05-01,,9
6708,Male,2008-02-01,,9
6709,Female,2008-07-01,,9
6710,Female,2008-05-01,,9
4830,Male,2008-04-01,,9
6711,Female,2008-01-01,,9
5192,Male,2008-01-01,,9
4822,Male,2008-05-01,,9
6048,Male,2007-02-01,,11
6712,Female,2007-12-01,0,9
6713,Male,2008-02-01,0,9
6714,Female,2007-09-01,1,9
6715,Unspecified,,,
6716,Female,,,6
6717,Male,,,5
6718,Unspecified,,,
6719,Male,2008-06-01,,
6720,Male,2006-08-01,0,10
6721,Female,2007-08-01,1,10
6722,Female,2007-09-01,1,8
6723,Male,2008-03-01,1,8
6724,Male,2008-02-01,0,8
6725,Male,2007-11-01,1,8
6726,Female,2008-01-01,1,8
6727,Female,2005-10-01,0,11
6728,Unspecified,,,
6729,Unspecified,,,9
6730,Unspecified,,,
6731,Unspecified,,,
6732,Female,2007-09-01,,9
6733,Male,2008-05-01,,9
6734,Unspecified,,,9
6735,Male,2009-05-01,,8
6736,Unspecified,,,7
6737,Unspecified,,,
6738,Unspecified,,,
6739,Unspecified,,,
6740,Male,2008-05-01,0,9
6741,Male,2008-04-01,0,9
6742,Unspecified,,,11
6743,Male,2008-07-01,,8
4158,Male,2005-04-01,,5
6744,Male,,,
6745,Unspecified,,,
6746,Female,2005-06-01,,13
5384,Male,,,10
5421,Female,,,10
6332,Female,,,10
6747,Unspecified,,,10
4896,Unspecified,,,9
4890,Unspecified,,,9
4897,Unspecified,,,9
4903,Unspecified,,,9
4887,Unspecified,,,9
4907,Unspecified,,,9
4901,Unspecified,,,9
6748,Female,2008-03-01,0,9
6749,Male,2007-11-01,1,9
6750,Male,2008-05-01,0,9
6751,Female,2007-07-01,,8
6752,Female,2009-02-01,0,8
6753,Unspecified,,,9
6754,Unspecified,,,7
6755,Female,2005-12-01,,11
4227,Unspecified,,,7
6756,Unspecified,,,
6757,Male,2006-01-01,0,11
6758,Female,2006-03-01,0,11
6759,Female,2006-03-01,0,11
6760,Unspecified,,,
6761,Unspecified,,,
6762,Unspecified,,,7
6763,Unspecified,,,7
6764,Unspecified,,,7
6765,Unspecified,,,7
6766,Unspecified,,,7
6767,Unspecified,,,7
6768,Unspecified,,,7
6769,Unspecified,,,7
212,Unspecified,,,7
6770,Unspecified,,,7
6771,Unspecified,,,
6772,Unspecified,,,
6773,Unspecified,,,
6774,Unspecified,,,
6775,Unspecified,,,
6776,Unspecified,,,
6777,Unspecified,,,
6778,Unspecified,,,10
6779,Unspecified,,,11
6780,Unspecified,,,
6781,Unspecified,,,
6782,Unspecified,,,
6783,Unspecified,,,
6784,Female,,,
6785,Male,,,
6786,Female,,,
6787,Female,,,
6788,Female,,,
6789,Female,,,
6790,Male,2008-11-01,,8
6791,Unspecified,,,
6792,Unspecified,,,
6793,Unspecified,,,
6794,Unspecified,,,
6795,Unspecified,,,
6796,Female,,,
6797,Unspecified,,,9
6798,Male,2009-01-01,0,7
6799,Male,2009-06-01,0,7
6800,Unspecified,,,9
6801,Unspecified,,,9
6802,Unspecified,,,9
6803,Unspecified,,,9
6804,Male,2009-08-01,0,7
6805,Unspecified,,,
6806,Unspecified,,,
6807,Female,2009-01-01,0,8
6808,Female,2007-08-01,0,10
6809,Male,2007-02-01,0,11
6810,Female,2006-10-01,0,11
6811,Male,2007-06-01,0,10
6812,Female,2009-04-01,1,8
6813,Female,2014-01-01,0,3
6814,Female,2008-03-01,0,9
6815,Female,2008-05-01,0,9
6816,Male,2008-01-01,1,9
6817,Female,2008-05-01,1,9
6818,Male,2009-04-01,1,8
