# of constructs: 4
# of questions: 20
# of students: 128
Ground Truth Ws.
==================================================
W_ir
: tensor([[ 0.4025, -0.0000, -0.0000, -0.0000],
        [-0.0755,  0.4685,  0.0000,  0.0000],
        [ 0.5214, -0.2561,  0.1969, -0.0000],
        [-0.1865, -0.0892,  0.2557, -0.2694]], dtype=torch.float64)
W_hr
: tensor([[ 0.2165, -0.0000,  0.0000, -0.0000],
        [ 0.0269,  0.1024,  0.0000, -0.0000],
        [-0.0918,  0.0337,  0.5411, -0.0000],
        [ 0.0582, -0.5787, -0.4636,  0.4309]], dtype=torch.float64)
W_iz
: tensor([[0.2127, 0.0000, -0.0000, 0.0000],
        [0.3069, 0.2519, 0.0000, 0.0000],
        [0.2823, 0.6486, 0.1324, 0.0000],
        [0.5337, 0.1417, 0.1009, 0.2708]], dtype=torch.float64)
W_hz
: tensor([[ 0.4487,  0.0000,  0.0000, -0.0000],
        [ 0.0617,  0.4037, -0.0000, -0.0000],
        [ 0.1443, -0.3663,  0.2134,  0.0000],
        [-0.0654, -0.0260, -0.4763, -0.1150]], dtype=torch.float64)
W_in
: tensor([[-0.1082, -0.0000, -0.0000, -0.0000],
        [ 0.3180, -0.1247,  0.0000,  0.0000],
        [ 0.1068,  0.4424, -0.6312,  0.0000],
        [-0.2550,  0.2976, -0.1157,  0.5599]], dtype=torch.float64)
W_hn
: tensor([[-0.6019, -0.0000,  0.0000, -0.0000],
        [-0.1973, -0.6819, -0.0000,  0.0000],
        [-0.0164,  0.0500, -0.1693, -0.0000],
        [-0.0752,  0.3671, -0.4074,  0.5494]], dtype=torch.float64)
==================================================
https://app.neptune.ai/phdprojects/neurips-sanity/e/NEUR-101
Epoch 1/200, Train Loss: 0.6671, Train Accuracy: 0.61
Epoch 2/200, Train Loss: 0.6736, Train Accuracy: 0.62
Epoch 3/200, Train Loss: 0.6648, Train Accuracy: 0.62
Epoch 4/200, Train Loss: 0.6604, Train Accuracy: 0.62
Epoch 5/200, Train Loss: 0.6581, Train Accuracy: 0.62
Epoch 6/200, Train Loss: 0.6611, Train Accuracy: 0.62
Epoch 7/200, Train Loss: 0.6649, Train Accuracy: 0.62
Epoch 8/200, Train Loss: 0.6562, Train Accuracy: 0.62
Epoch 9/200, Train Loss: 0.6534, Train Accuracy: 0.61
Epoch 10/200, Train Loss: 0.6667, Train Accuracy: 0.61
Epoch 11/200, Train Loss: 0.6489, Train Accuracy: 0.62
Epoch 12/200, Train Loss: 0.6479, Train Accuracy: 0.62
Epoch 13/200, Train Loss: 0.6537, Train Accuracy: 0.62
Epoch 14/200, Train Loss: 0.6432, Train Accuracy: 0.62
Epoch 15/200, Train Loss: 0.6566, Train Accuracy: 0.61
Epoch 16/200, Train Loss: 0.6527, Train Accuracy: 0.62
Epoch 17/200, Train Loss: 0.6520, Train Accuracy: 0.62
Epoch 18/200, Train Loss: 0.6559, Train Accuracy: 0.62
Epoch 19/200, Train Loss: 0.6352, Train Accuracy: 0.62
Epoch 20/200, Train Loss: 0.6545, Train Accuracy: 0.62
Epoch 21/200, Train Loss: 0.6394, Train Accuracy: 0.62
Epoch 22/200, Train Loss: 0.6343, Train Accuracy: 0.62
Epoch 23/200, Train Loss: 0.6249, Train Accuracy: 0.62
Epoch 24/200, Train Loss: 0.6366, Train Accuracy: 0.62
Epoch 25/200, Train Loss: 0.6279, Train Accuracy: 0.63
Epoch 26/200, Train Loss: 0.6212, Train Accuracy: 0.63
Epoch 27/200, Train Loss: 0.6277, Train Accuracy: 0.64
Epoch 28/200, Train Loss: 0.6170, Train Accuracy: 0.65
Epoch 29/200, Train Loss: 0.6277, Train Accuracy: 0.65
Epoch 30/200, Train Loss: 0.6223, Train Accuracy: 0.65
Epoch 31/200, Train Loss: 0.6175, Train Accuracy: 0.66
Epoch 32/200, Train Loss: 0.6251, Train Accuracy: 0.67
Epoch 33/200, Train Loss: 0.5986, Train Accuracy: 0.69
Epoch 34/200, Train Loss: 0.6151, Train Accuracy: 0.69
Epoch 35/200, Train Loss: 0.6100, Train Accuracy: 0.70
Epoch 36/200, Train Loss: 0.6156, Train Accuracy: 0.72
Epoch 37/200, Train Loss: 0.5997, Train Accuracy: 0.72
Epoch 38/200, Train Loss: 0.5991, Train Accuracy: 0.73
Epoch 39/200, Train Loss: 0.5981, Train Accuracy: 0.74
Epoch 40/200, Train Loss: 0.6027, Train Accuracy: 0.75
Epoch 41/200, Train Loss: 0.5923, Train Accuracy: 0.76
Epoch 42/200, Train Loss: 0.5802, Train Accuracy: 0.76
Epoch 43/200, Train Loss: 0.5757, Train Accuracy: 0.76
Epoch 44/200, Train Loss: 0.5810, Train Accuracy: 0.77
Epoch 45/200, Train Loss: 0.5785, Train Accuracy: 0.77
Epoch 46/200, Train Loss: 0.5541, Train Accuracy: 0.78
Epoch 47/200, Train Loss: 0.5550, Train Accuracy: 0.78
Epoch 48/200, Train Loss: 0.5670, Train Accuracy: 0.79
Epoch 49/200, Train Loss: 0.5658, Train Accuracy: 0.79
Epoch 50/200, Train Loss: 0.5612, Train Accuracy: 0.80
Epoch 51/200, Train Loss: 0.5389, Train Accuracy: 0.79
Epoch 52/200, Train Loss: 0.5381, Train Accuracy: 0.80
Epoch 53/200, Train Loss: 0.5416, Train Accuracy: 0.80
Epoch 54/200, Train Loss: 0.5470, Train Accuracy: 0.80
Epoch 55/200, Train Loss: 0.5401, Train Accuracy: 0.80
Epoch 56/200, Train Loss: 0.5437, Train Accuracy: 0.80
Epoch 57/200, Train Loss: 0.5318, Train Accuracy: 0.81
